filepath,speaker_id,sentence_id,dialect_id
datasets\TIMIT\TRAIN\DR1\FJSP0\SA1.WAV,fjsp0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FJSP0\SA2.WAV,fjsp0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FJSP0\SI1434.WAV,fjsp0,si1434,dr1
datasets\TIMIT\TRAIN\DR1\FJSP0\SI1763.WAV,fjsp0,si1763,dr1
datasets\TIMIT\TRAIN\DR1\FJSP0\SI804.WAV,fjsp0,si804,dr1
datasets\TIMIT\TRAIN\DR1\FJSP0\SX174.WAV,fjsp0,sx174,dr1
datasets\TIMIT\TRAIN\DR1\FJSP0\SX264.WAV,fjsp0,sx264,dr1
datasets\TIMIT\TRAIN\DR1\FJSP0\SX354.WAV,fjsp0,sx354,dr1
datasets\TIMIT\TRAIN\DR1\FJSP0\SX444.WAV,fjsp0,sx444,dr1
datasets\TIMIT\TRAIN\DR1\FJSP0\SX84.WAV,fjsp0,sx84,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SA1.WAV,fkfb0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SA2.WAV,fkfb0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SI1608.WAV,fkfb0,si1608,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SI2238.WAV,fkfb0,si2238,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SI978.WAV,fkfb0,si978,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SX168.WAV,fkfb0,sx168,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SX258.WAV,fkfb0,sx258,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SX348.WAV,fkfb0,sx348,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SX438.WAV,fkfb0,sx438,dr1
datasets\TIMIT\TRAIN\DR1\FKFB0\SX78.WAV,fkfb0,sx78,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SA1.WAV,fmem0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SA2.WAV,fmem0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SI1377.WAV,fmem0,si1377,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SI2007.WAV,fmem0,si2007,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SI747.WAV,fmem0,si747,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SX117.WAV,fmem0,sx117,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SX207.WAV,fmem0,sx207,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SX297.WAV,fmem0,sx297,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SX333.WAV,fmem0,sx333,dr1
datasets\TIMIT\TRAIN\DR1\FMEM0\SX387.WAV,fmem0,sx387,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SA1.WAV,fsah0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SA2.WAV,fsah0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SI1244.WAV,fsah0,si1244,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SI1874.WAV,fsah0,si1874,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SI614.WAV,fsah0,si614,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SX164.WAV,fsah0,sx164,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SX327.WAV,fsah0,sx327,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SX344.WAV,fsah0,sx344,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SX434.WAV,fsah0,sx434,dr1
datasets\TIMIT\TRAIN\DR1\FSAH0\SX74.WAV,fsah0,sx74,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SA1.WAV,fsma0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SA2.WAV,fsma0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SI1621.WAV,fsma0,si1621,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SI2251.WAV,fsma0,si2251,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SI991.WAV,fsma0,si991,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SX181.WAV,fsma0,sx181,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SX271.WAV,fsma0,sx271,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SX361.WAV,fsma0,sx361,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SX451.WAV,fsma0,sx451,dr1
datasets\TIMIT\TRAIN\DR1\FSMA0\SX91.WAV,fsma0,sx91,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SA1.WAV,fvfb0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SA2.WAV,fvfb0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SI1032.WAV,fvfb0,si1032,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SI1510.WAV,fvfb0,si1510,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SI2292.WAV,fvfb0,si2292,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SX132.WAV,fvfb0,sx132,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SX222.WAV,fvfb0,sx222,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SX312.WAV,fvfb0,sx312,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SX402.WAV,fvfb0,sx402,dr1
datasets\TIMIT\TRAIN\DR1\FVFB0\SX42.WAV,fvfb0,sx42,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SA1.WAV,fvmh0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SA2.WAV,fvmh0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SI1466.WAV,fvmh0,si1466,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SI2096.WAV,fvmh0,si2096,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SI836.WAV,fvmh0,si836,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SX116.WAV,fvmh0,sx116,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SX206.WAV,fvmh0,sx206,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SX26.WAV,fvmh0,sx26,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SX296.WAV,fvmh0,sx296,dr1
datasets\TIMIT\TRAIN\DR1\FVMH0\SX386.WAV,fvmh0,sx386,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SA1.WAV,mcpm0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SA2.WAV,mcpm0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SI1194.WAV,mcpm0,si1194,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SI1824.WAV,mcpm0,si1824,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SI564.WAV,mcpm0,si564,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SX114.WAV,mcpm0,sx114,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SX204.WAV,mcpm0,sx204,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SX24.WAV,mcpm0,sx24,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SX294.WAV,mcpm0,sx294,dr1
datasets\TIMIT\TRAIN\DR1\MCPM0\SX384.WAV,mcpm0,sx384,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SA1.WAV,mdpk0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SA2.WAV,mdpk0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SI1053.WAV,mdpk0,si1053,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SI1683.WAV,mdpk0,si1683,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SI552.WAV,mdpk0,si552,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SX153.WAV,mdpk0,sx153,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SX243.WAV,mdpk0,sx243,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SX333.WAV,mdpk0,sx333,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SX423.WAV,mdpk0,sx423,dr1
datasets\TIMIT\TRAIN\DR1\MDPK0\SX63.WAV,mdpk0,sx63,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SA1.WAV,medr0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SA2.WAV,medr0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SI1374.WAV,medr0,si1374,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SI2004.WAV,medr0,si2004,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SI744.WAV,medr0,si744,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SX114.WAV,medr0,sx114,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SX204.WAV,medr0,sx204,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SX24.WAV,medr0,sx24,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SX294.WAV,medr0,sx294,dr1
datasets\TIMIT\TRAIN\DR1\MEDR0\SX384.WAV,medr0,sx384,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SA1.WAV,mjwt0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SA2.WAV,mjwt0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SI1291.WAV,mjwt0,si1291,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SI1381.WAV,mjwt0,si1381,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SI751.WAV,mjwt0,si751,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SX121.WAV,mjwt0,sx121,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SX211.WAV,mjwt0,sx211,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SX301.WAV,mjwt0,sx301,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SX31.WAV,mjwt0,sx31,dr1
datasets\TIMIT\TRAIN\DR1\MJWT0\SX391.WAV,mjwt0,sx391,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SA1.WAV,mkls0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SA2.WAV,mkls0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SI1437.WAV,mkls0,si1437,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SI1533.WAV,mkls0,si1533,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SI2067.WAV,mkls0,si2067,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SX177.WAV,mkls0,sx177,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SX267.WAV,mkls0,sx267,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SX357.WAV,mkls0,sx357,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SX447.WAV,mkls0,sx447,dr1
datasets\TIMIT\TRAIN\DR1\MKLS0\SX87.WAV,mkls0,sx87,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SA1.WAV,mklw0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SA2.WAV,mklw0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SI1571.WAV,mklw0,si1571,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SI1844.WAV,mklw0,si1844,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SI2201.WAV,mklw0,si2201,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SX131.WAV,mklw0,sx131,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SX221.WAV,mklw0,sx221,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SX311.WAV,mklw0,sx311,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SX401.WAV,mklw0,sx401,dr1
datasets\TIMIT\TRAIN\DR1\MKLW0\SX41.WAV,mklw0,sx41,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SA1.WAV,mmgg0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SA2.WAV,mmgg0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SI1079.WAV,mmgg0,si1079,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SI1709.WAV,mmgg0,si1709,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SI2339.WAV,mmgg0,si2339,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SX179.WAV,mmgg0,sx179,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SX269.WAV,mmgg0,sx269,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SX359.WAV,mmgg0,sx359,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SX449.WAV,mmgg0,sx449,dr1
datasets\TIMIT\TRAIN\DR1\MMGG0\SX89.WAV,mmgg0,sx89,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SA1.WAV,mmrp0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SA2.WAV,mmrp0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SI2034.WAV,mmrp0,si2034,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SI717.WAV,mmrp0,si717,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SI774.WAV,mmrp0,si774,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SX144.WAV,mmrp0,sx144,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SX234.WAV,mmrp0,sx234,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SX324.WAV,mmrp0,sx324,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SX414.WAV,mmrp0,sx414,dr1
datasets\TIMIT\TRAIN\DR1\MMRP0\SX54.WAV,mmrp0,sx54,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SA1.WAV,mpgh0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SA2.WAV,mpgh0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SI1554.WAV,mpgh0,si1554,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SI675.WAV,mpgh0,si675,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SI924.WAV,mpgh0,si924,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SX114.WAV,mpgh0,sx114,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SX204.WAV,mpgh0,sx204,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SX24.WAV,mpgh0,sx24,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SX294.WAV,mpgh0,sx294,dr1
datasets\TIMIT\TRAIN\DR1\MPGH0\SX384.WAV,mpgh0,sx384,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SA1.WAV,mpgr0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SA2.WAV,mpgr0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SI1410.WAV,mpgr0,si1410,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SI2040.WAV,mpgr0,si2040,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SI780.WAV,mpgr0,si780,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SX150.WAV,mpgr0,sx150,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SX240.WAV,mpgr0,sx240,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SX330.WAV,mpgr0,sx330,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SX420.WAV,mpgr0,sx420,dr1
datasets\TIMIT\TRAIN\DR1\MPGR0\SX60.WAV,mpgr0,sx60,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SA1.WAV,mpsw0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SA2.WAV,mpsw0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SI1067.WAV,mpsw0,si1067,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SI1697.WAV,mpsw0,si1697,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SI2327.WAV,mpsw0,si2327,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SX167.WAV,mpsw0,sx167,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SX24.WAV,mpsw0,sx24,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SX257.WAV,mpsw0,sx257,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SX437.WAV,mpsw0,sx437,dr1
datasets\TIMIT\TRAIN\DR1\MPSW0\SX77.WAV,mpsw0,sx77,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SA1.WAV,mrai0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SA2.WAV,mrai0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SI1954.WAV,mrai0,si1954,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SI2052.WAV,mrai0,si2052,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SI792.WAV,mrai0,si792,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SX162.WAV,mrai0,sx162,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SX252.WAV,mrai0,sx252,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SX342.WAV,mrai0,sx342,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SX432.WAV,mrai0,sx432,dr1
datasets\TIMIT\TRAIN\DR1\MRAI0\SX72.WAV,mrai0,sx72,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SA1.WAV,mrcg0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SA2.WAV,mrcg0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SI1428.WAV,mrcg0,si1428,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SI2058.WAV,mrcg0,si2058,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SI798.WAV,mrcg0,si798,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SX168.WAV,mrcg0,sx168,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SX258.WAV,mrcg0,sx258,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SX348.WAV,mrcg0,sx348,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SX438.WAV,mrcg0,sx438,dr1
datasets\TIMIT\TRAIN\DR1\MRCG0\SX78.WAV,mrcg0,sx78,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SA1.WAV,mrso0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SA2.WAV,mrso0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SI1206.WAV,mrso0,si1206,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SI1659.WAV,mrso0,si1659,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SI2289.WAV,mrso0,si2289,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SX129.WAV,mrso0,sx129,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SX219.WAV,mrso0,sx219,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SX309.WAV,mrso0,sx309,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SX39.WAV,mrso0,sx39,dr1
datasets\TIMIT\TRAIN\DR1\MRSO0\SX399.WAV,mrso0,sx399,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SA1.WAV,mrws0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SA2.WAV,mrws0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SI1102.WAV,mrws0,si1102,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SI1732.WAV,mrws0,si1732,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SI472.WAV,mrws0,si472,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SX112.WAV,mrws0,sx112,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SX202.WAV,mrws0,sx202,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SX22.WAV,mrws0,sx22,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SX292.WAV,mrws0,sx292,dr1
datasets\TIMIT\TRAIN\DR1\MRWS0\SX382.WAV,mrws0,sx382,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SA1.WAV,mtpf0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SA2.WAV,mtpf0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SI1235.WAV,mtpf0,si1235,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SI1865.WAV,mtpf0,si1865,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SI605.WAV,mtpf0,si605,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SX155.WAV,mtpf0,sx155,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SX245.WAV,mtpf0,sx245,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SX335.WAV,mtpf0,sx335,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SX425.WAV,mtpf0,sx425,dr1
datasets\TIMIT\TRAIN\DR1\MTPF0\SX65.WAV,mtpf0,sx65,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SA1.WAV,mtrr0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SA2.WAV,mtrr0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SI1548.WAV,mtrr0,si1548,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SI2178.WAV,mtrr0,si2178,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SI918.WAV,mtrr0,si918,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SX108.WAV,mtrr0,sx108,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SX18.WAV,mtrr0,sx18,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SX198.WAV,mtrr0,sx198,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SX288.WAV,mtrr0,sx288,dr1
datasets\TIMIT\TRAIN\DR1\MTRR0\SX378.WAV,mtrr0,sx378,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SA1.WAV,mwad0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SA2.WAV,mwad0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SI1062.WAV,mwad0,si1062,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SI1749.WAV,mwad0,si1749,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SI2322.WAV,mwad0,si2322,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SX162.WAV,mwad0,sx162,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SX252.WAV,mwad0,sx252,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SX342.WAV,mwad0,sx342,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SX432.WAV,mwad0,sx432,dr1
datasets\TIMIT\TRAIN\DR1\MWAD0\SX72.WAV,mwad0,sx72,dr1
datasets\TIMIT\TRAIN\DR1\MWAR0\SA1.WAV,mwar0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\MWAR0\SA2.WAV,mwar0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\MWAR0\SI1045.WAV,mwar0,si1045,dr1
